category,n,outcome,mechanisms,incumbent_at_attempt,incumbent_floor,our_best_logged,evidence
oct_in_oct,3,tie-documented,search (blitz-1),Ignacio Vallejo,2.17157,2.171572876,blitz_final.txt | blitz_targets.txt
oct_in_oct,4,tie-documented,search (blitz-1),Ignacio Vallejo,2.38895,2.388955168,blitz_final.txt | blitz_targets.txt
oct_in_oct,5,tie-documented,search (blitz-1),Ignacio Vallejo,2.7071,2.707106782,blitz_final.txt | blitz_targets.txt
oct_in_oct,6,no-improvement,search (blitz-2),Nicolas Campailla,2.98894,,blitz2_targets.txt (aggregate: 49 ties)
oct_in_oct,7,no-improvement,search (blitz-2),Trivial,3.0,,blitz2_targets.txt (aggregate: 49 ties)
oct_in_oct,8,no-improvement,search (blitz-2),Grant Mowry,3.27524,,blitz2_targets.txt (aggregate: 49 ties)
oct_in_oct,11,no-improvement,search (blitz-3),Timo Berthold et al,3.93256,,blitz3_targets.txt (aggregate: 0/69 improvements)
oct_in_oct,22,attempted,search (night BH),Timo Berthold et al,,,night_harvest/bh_*
oct_in_oct,24,tie-documented,search (night BH),Timo Berthold et al,,,CAMPAIGN.md: tie +8.4e-6 above Ananthan floor | night_harvest/bh_*
oct_in_oct,29,attempted,search (night BH),Ignacio Vallejo,,,night_harvest/bh_*
oct_in_pen,3,tie-documented,search (blitz-1),Jonathan Viquerat,3.74412,3.744125628,blitz_final.txt | blitz_targets.txt
oct_in_pen,4,beaten-candidate,search (blitz-1),Jonathan Viquerat,4.10126,4.101259677,blitz_final.txt | blitz_targets.txt
oct_in_pen,5,tie-documented,search (blitz-1),Jonathan Viquerat,4.333,4.333003743,blitz_final.txt | blitz_targets.txt
oct_in_pen,6,tie-documented,drop-one (night sweep); harvest; search (blitz-2),Jonathan Viquerat,4.77007,4.770075575,blitz2_targets.txt (aggregate: 49 ties) | night_harvest/do0_* | sweep_results.md
oct_in_pen,7,tie-documented,drop-one (night sweep); harvest; search (blitz-2),Jonathan Viquerat,5.25544,5.255442967,blitz2_targets.txt (aggregate: 49 ties) | night_harvest/do0_* | sweep_results.md
oct_in_pen,8,tie-documented,drop-one (night sweep); harvest; search (blitz-2),Jonathan Viquerat,5.61662,5.616624671,blitz2_targets.txt (aggregate: 49 ties) | night_harvest/do0_* | sweep_results.md
oct_in_pen,9,tie-documented,drop-one (night sweep); harvest; search (blitz-3),Jonathan Viquerat,5.9658,5.965808630,blitz3_targets.txt (aggregate: 0/69 improvements) | night_harvest/do0_* | sweep_results.md
oct_in_pen,10,tie-documented,drop-one (night sweep); harvest; search (blitz-3),Jonathan Viquerat,6.28146,6.281468856,blitz3_targets.txt (aggregate: 0/69 improvements) | night_harvest/do0_* | sweep_results.md
oct_in_pen,11,tie-documented,drop-one (night sweep); harvest; search (blitz-3),Jonathan Viquerat,6.46576,6.465769876,blitz3_targets.txt (aggregate: 0/69 improvements) | night_harvest/do0_* | sweep_results.md
oct_in_pen,12,tie-documented,drop-one (night sweep); harvest; search (blitz-3),Jonathan Viquerat,6.71763,6.717637144,blitz3_targets.txt (aggregate: 0/69 improvements) | night_harvest/do0_* | sweep_results.md
oct_in_pen,13,tie-documented,drop-one (night sweep); harvest,Jonathan Viquerat,6.97062,6.970622744,night_harvest/do0_* | sweep_results.md
oct_in_pen,14,tie-documented,harvest,Jonathan Viquerat,7.16083,7.160833005,sweep_results.md
oct_in_pen,16,tie-documented,drop-one (night sweep); harvest,Bhavithran Ananthan,7.61505,7.615183571,night_harvest/do0_* | sweep_results.md
oct_in_pen,17,tie-documented,drop-one (night sweep); harvest,Jonathan Viquerat,7.9142,7.914219889,night_harvest/do0_* | sweep_results.md
oct_in_pen,18,tie-documented,drop-one (night sweep); harvest,Bhavithran Ananthan,8.12567,8.125769538,night_harvest/do0_* | sweep_results.md
oct_in_pen,19,tie-documented,drop-one (night sweep); harvest,Jonathan Viquerat,8.34358,8.343583056,night_harvest/do0_* | sweep_results.md
oct_in_pen,20,tie-documented,harvest,Bhavithran Ananthan,8.54202,8.542026426,sweep_results.md
oct_in_squ,5,tie-documented,search (blitz-1),Jonathan Viquerat,5.82842,5.828427125,blitz_final.txt | blitz_targets.txt
oct_in_squ,10,attempted,drop-one (night sweep),Jonathan Viquerat,,,night_harvest/do0_*
oct_in_squ,11,tie-documented,harvest; search (blitz-3),Jonathan Viquerat,8.57596,8.575974028,blitz3_targets.txt (aggregate: 0/69 improvements) | sweep_results.md
oct_in_squ,12,attempted,drop-one (night sweep),Jonathan Viquerat,,,night_harvest/do0_*
oct_in_squ,13,tie-documented,harvest,Jonathan Viquerat,9.19909,9.199281634,sweep_results.md
oct_in_squ,14,attempted,drop-one (night sweep),Jonathan Viquerat,,,night_harvest/do0_*
oct_in_squ,15,no-improvement,drop-one (night sweep); search (plateau),Jonathan Viquerat,,,CAMPAIGN.md: 4+4sqrt2 plateau; f32 sightings were violations | night_harvest/do0_*
oct_in_squ,16,attempted,drop-one (night sweep),Jonathan Viquerat,,,night_harvest/do0_*
oct_in_squ,17,tie-documented,harvest,Jonathan Viquerat,10.44973,10.449747476,sweep_results.md
oct_in_squ,18,attempted,drop-one (night sweep),Jonathan Viquerat,,,night_harvest/do0_*
oct_in_squ,19,tie-documented,harvest,Haowei Lin,10.9662,10.966203782,sweep_results.md
oct_in_tri,3,tie-documented,search (blitz-1),Jonathan Viquerat,6.83693,6.83693507,blitz_final.txt | blitz_targets.txt
oct_in_tri,4,tie-documented,search (blitz-1),Jonathan Viquerat,8.65211,8.652115477,blitz_final.txt | blitz_targets.txt
oct_in_tri,5,tie-documented,search (blitz-1),Jonathan Viquerat,9.28498,9.28499028,blitz_final.txt | blitz_targets.txt
oct_in_tri,6,tie-documented,drop-one (night sweep); harvest; search (blitz-2),Jonathan Viquerat,9.31576,9.315772879,blitz2_targets.txt (aggregate: 49 ties) | night_harvest/do0_* | sweep_results.md
oct_in_tri,7,tie-documented,drop-one (night sweep); harvest; search (blitz-2),Jonathan Viquerat,11.06632,11.066329034,blitz2_targets.txt (aggregate: 49 ties) | night_harvest/do0_* | sweep_results.md
oct_in_tri,8,tie-documented,harvest; search (blitz-2),Jonathan Viquerat,11.51025,11.510257043,blitz2_targets.txt (aggregate: 49 ties) | sweep_results.md
oct_in_tri,9,attempted,drop-one (night sweep),Trivial,,,night_harvest/do0_*
oct_in_tri,10,tie-documented,drop-one (night sweep); harvest; search (blitz-3),Jonathan Viquerat,11.80642,11.806431656,blitz3_targets.txt (aggregate: 0/69 improvements) | night_harvest/do0_* | sweep_results.md
oct_in_tri,11,tie-documented,drop-one (night sweep); harvest; search (blitz-3),Jonathan Viquerat,13.24689,13.246899723,blitz3_targets.txt (aggregate: 0/69 improvements) | night_harvest/do0_* | sweep_results.md
oct_in_tri,12,tie-documented,drop-one (night sweep); harvest; search (blitz-3),Jonathan Viquerat,13.62033,13.620330000,blitz3_targets.txt (aggregate: 0/69 improvements) | night_harvest/do0_* | sweep_results.md
oct_in_tri,13,tie-documented,drop-one (night sweep); harvest,Jonathan Viquerat,14.04225,14.042264934,night_harvest/do0_* | sweep_results.md
oct_in_tri,14,beaten-claimed,drop-one (night sweep); harvest,Jonathan Viquerat,14.24006,14.239214111099999,ledger: standing | night_harvest/do0_* | sweep_results.md
oct_in_tri,15,tie-documented,drop-one (night sweep); harvest,Jonathan Viquerat,14.28169,14.281701441,night_harvest/do0_* | sweep_results.md
oct_in_tri,16,tie-documented,drop-one (night sweep); harvest,Jonathan Viquerat,15.66136,15.661373335,night_harvest/do0_* | sweep_results.md
oct_in_tri,17,tie-documented,drop-one (night sweep); harvest,Bhavithran Ananthan,16.06191,16.061911422,night_harvest/do0_* | sweep_results.md
